trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,extinction_trials.thisRepN,extinction_trials.thisTrialN,extinction_trials.thisN,extinction_trials.thisIndex,post_form_c_trials.thisRepN,post_form_c_trials.thisTrialN,post_form_c_trials.thisN,post_form_c_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,fixation_image_post.started,form_3a.started,form_3a_next_button.started,form_3a.index,form_3a.itemText,form_3a.type,form_3a.font,form_3a.markerColor,form_3a.response,form_3a.rt,form_3a_next_button.numClicks,form_3a_next_button.timesOn,form_3a_next_button.timesOff,form_3b.started,form_3b_next_button.started,form_3b.index,form_3b.itemText,form_3b.type,form_3b.font,form_3b.markerColor,form_3b.response,form_3b.rt,form_3b_next_button.numClicks,form_3b_next_button.timesOn,form_3b_next_button.timesOff,form_3c.started,form_3c_next_button.started,form_3c.index,form_3c.itemText,form_3c.type,form_3c.font,form_3c.markerColor,form_3c.response,form_3c.rt,form_3c_next_button.numClicks,form_3c_next_button.timesOn,form_3c_next_button.timesOff,form_3d.started,form_3d_next_button.started,form_3d.index,form_3d.itemText,form_3d.type,form_3d.font,form_3d.markerColor,form_3d.response,form_3d.rt,form_3d_next_button.numClicks,form_3d_next_button.timesOn,form_3d_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_slider.started,rating_next_button.started,rating_slider.response,rating_slider.rt,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS-,0,10,8,stimuli/aligned.png,1,1,extinction,,,,,,,,,0,0,0,0,,,,,,,,,9.380586099985521,5.017738800030202,14.390084599959664,15.011749299999792,9.994010400027037,15.01175870001316,23.010290700010955,7.9985287000308745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,12.5,8,stimuli/rotated.png,2,1,extinction,,,,,,,,,0,1,1,1,,,,,,,,,,23.010686499997973,32.39087890001247,35.50057900004322,12.489893899997696,35.50058910000371,43.5158219000441,8.015219799999613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,10.5,8,stimuli/aligned.png,3,1,extinction,,,,,,,,,0,2,2,2,,,,,,,,,,43.516159300052095,52.89639670000179,54.00230960000772,10.486151000019163,54.00231860001804,62.017542500048876,8.015209400036838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,15,8,stimuli/rotated.png,4,1,extinction,,,,,,,,,0,3,3,3,,,,,,,,,,62.01784939999925,71.39812490000622,77.01259060000302,14.994742500013672,77.01260060002096,85.01114410004811,7.9985263000126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,13,8,stimuli/aligned.png,5,1,extinction,,,,,,,,,0,4,4,4,,,,,,,,,,85.01145079999696,94.39170639996883,98.0023653000244,12.990916199982166,98.00237560004462,106.01760130003095,8.015217799984384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,11,8,stimuli/rotated.png,6,1,extinction,,,,,,,,,0,5,5,5,,,,,,,,,,106.01794099999825,115.39819009997882,117.00504460005322,10.987104700005148,117.00505350000458,125.00360730005195,7.998539599997457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,11.5,8,stimuli/aligned.png,7,1,extinction,,,,,,,,,0,6,6,6,,,,,,,,,,125.00392180000199,134.38416339998366,136.508675100049,11.504754699999467,136.50868450000416,144.5239111999981,8.015211299993098,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,14,8,stimuli/aligned.png,8,1,extinction,,,,,,,,,0,7,7,7,,,,,,,,,,144.5242411000072,153.90449370001443,158.5003524000058,13.976112100004684,158.50036210002145,166.5155958000105,8.015232300036587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,13.5,8,stimuli/rotated.png,9,1,extinction,,,,,,,,,0,8,8,8,,,,,,,,,,166.51592430000892,175.8961738999933,180.00778060004814,13.491857599990908,180.0077900000033,188.00632530002622,7.9985349999624304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,14.5,8,stimuli/rotated.png,10,1,extinction,,,,,,,,,0,9,9,9,,,,,,,,,,188.00665330002084,197.38689919997705,202.50040810002247,14.493755599949509,202.50041720003355,210.51565080002183,8.015218099986669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
