trial_type,cs_img,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,trial,us,iti_duration,cs_duration,half,task,pre_ratings_trials.thisRepN,pre_ratings_trials.thisTrialN,pre_ratings_trials.thisN,pre_ratings_trials.thisIndex,habituation_trials.thisRepN,habituation_trials.thisTrialN,habituation_trials.thisN,habituation_trials.thisIndex,acquisition_trials.thisRepN,acquisition_trials.thisTrialN,acquisition_trials.thisN,acquisition_trials.thisIndex,post_form_b_trials.thisRepN,post_form_b_trials.thisTrialN,post_form_b_trials.thisN,post_form_b_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,form_1.started,form_1_next_button.started,form_1.index,form_1.itemText,form_1.type,form_1.font,form_1.markerColor,form_1.response,form_1.rt,form_1_next_button.numClicks,form_1_next_button.timesOn,form_1_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_next_button.started,rating_slider.started,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,rating_slider.response,rating_slider.rt,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,shock_begin,shock_end,shock_dur,fixation_image_post.started,form_2a.started,form_2a_next_button.started,form_2a.index,form_2a.itemText,form_2a.type,form_2a.font,form_2a.markerColor,form_2a.response,form_2a.rt,form_2a_next_button.numClicks,form_2a_next_button.timesOn,form_2a_next_button.timesOff,form_2b.started,form_2b_next_button.started,form_2b.index,form_2b.itemText,form_2b.type,form_2b.font,form_2b.markerColor,form_2b.response,form_2b.rt,form_2b_next_button.numClicks,form_2b_next_button.timesOn,form_2b_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.42474569997285,75.66988379997201,0,Please answer the following question using the mouse:,heading,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Please rate the last electrical stimulation: 



",radio,None,None,5.0,6.189302499988116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS+,stimuli/aligned.png,square,assets/valence_scale_clean.png,valence,← FEELING? →,Please indicate how you feel right now when you are looking at the square:,very uncomfortable,None,very comfortable,1,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,[3.5403973000356928],[3.5403995999949984],79.27674100000877,79.27674100000877,79.27674100000877,79.27674100000877,79.27674100000877,79.27674100000877,79.27674100000877,79.27674100000877,1,[10.80811260000337],[10.808115499967244],6.0,9.271599600033369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS+,stimuli/aligned.png,square,assets/arousal_scale_clean.png,arousal,← AROUSAL? →,Please indicate how you feel right now when you are looking at the square:,calm and relaxed,None,very excited,2,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.13063579995651,90.13063579995651,90.13063579995651,90.13063579995651,90.13063579995651,90.13063579995651,90.13063579995651,90.13063579995651,2,"[10.80811260000337, 11.366890700010117]","[0.028330200002528727, 11.36689419997856]",5.0,10.345210600004066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS+,stimuli/aligned.png,square,None,anxiety,← ANXIETY? →,Please indicate how you feel right now when you are looking at the square:,not anxious at all,None,very anxious,3,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.50219069997547,101.50219069997547,101.50219069997547,101.50219069997547,101.50219069997547,101.50219069997547,101.50219069997547,101.50219069997547,3,"[10.80811260000337, 11.366890700010117, 4.7553594000055455]","[0.028330200002528727, 0.029570299957413226, 4.755361899966374]",3.0,3.6264952000346966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS-,stimuli/rotated.png,diamond,assets/valence_scale_clean.png,valence,← FEELING? →,Please indicate how you feel right now when you are looking at the diamond:,very uncomfortable,None,very comfortable,4,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.34493799996562,106.34493799996562,106.34493799996562,106.34493799996562,106.34493799996562,106.34493799996562,106.34493799996562,106.34493799996562,4,"[10.80811260000337, 11.366890700010117, 4.7553594000055455, 9.94920989999082]","[0.028330200002528727, 0.029570299957413226, 4.755361899966374, 9.949212300009094]",6.0,9.18948190001538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS-,stimuli/rotated.png,diamond,assets/arousal_scale_clean.png,arousal,← AROUSAL? →,Please indicate how you feel right now when you are looking at the diamond:,calm and relaxed,None,very excited,5,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.33029039995745,116.33029039995745,116.33029039995745,116.33029039995745,116.33029039995745,116.33029039995745,116.33029039995745,116.33029039995745,5,"[10.80811260000337, 11.366890700010117, 4.7553594000055455, 9.94920989999082, 12.554207600012887]","[0.028330200002528727, 0.029570299957413226, 4.755361899966374, 0.00016009999671950936, 12.554211599985138]",4.0,11.91665179998381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS-,stimuli/rotated.png,diamond,None,anxiety,← ANXIETY? →,Please indicate how you feel right now when you are looking at the diamond:,not anxious at all,None,very anxious,6,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.90412129997276,128.90412129997276,128.90412129997276,128.90412129997276,128.90412129997276,128.90412129997276,128.90412129997276,128.90412129997276,6,"[10.80811260000337, 11.366890700010117, 4.7553594000055455, 9.94920989999082, 12.554207600012887, 4.196683600021061]","[0.028330200002528727, 0.029570299957413226, 4.755361899966374, 0.00016009999671950936, 0.021674900024663657, 4.196687699994072]",3.0,3.511297299992293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS+,stimuli/aligned.png,,,,,,,,,1,0,9.5,8,1,habituation,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.76522770000156,5.018526000028942,139.7747223000042,14.510379899991676,9.491854200023226,14.510391400021035,22.508918600040488,7.998520000022836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
CS-,stimuli/rotated.png,,,,,,,,,2,0,11.5,8,1,habituation,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.509318500000518,157.27455529995495,34.01400950003881,11.504693900002167,34.01402150001377,42.012573199986946,7.998534700018354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_14h58.59.644,acquisition,2022.2.4,59.88676610492545,
